nm, A
800,0.003711
799,0.00372
798,0.003726
797,0.003728
796,0.003728
795,0.003724
794,0.003719
793,0.003712
792,0.003704
791,0.003696
790,0.003688
789,0.003681
788,0.003675
787,0.003672
786,0.003672
785,0.003675
784,0.003681
783,0.003691
782,0.003704
781,0.003722
780,0.003743
779,0.003769
778,0.003798
777,0.00383
776,0.003865
775,0.003902
774,0.003943
773,0.003986
772,0.004032
771,0.00408
770,0.00413
769,0.004182
768,0.004235
767,0.004289
766,0.004343
765,0.0044
764,0.004457
763,0.004514
762,0.004572
761,0.004631
760,0.004692
759,0.004752
758,0.004813
757,0.004872
756,0.004931
755,0.004988
754,0.005045
753,0.005099
752,0.005152
751,0.005204
750,0.005255
749,0.005303
748,0.005351
747,0.005397
746,0.005441
745,0.005483
744,0.005523
743,0.005561
742,0.005598
741,0.005634
740,0.005668
739,0.005703
738,0.005736
737,0.00577
736,0.005804
735,0.005838
734,0.005873
733,0.005908
732,0.005942
731,0.005977
730,0.006011
729,0.006047
728,0.006082
727,0.006119
726,0.006157
725,0.006195
724,0.006234
723,0.006273
722,0.006313
721,0.006353
720,0.006393
719,0.006434
718,0.006475
717,0.006516
716,0.006559
715,0.006603
714,0.006649
713,0.006696
712,0.006744
711,0.006792
710,0.006842
709,0.006892
708,0.006944
707,0.006998
706,0.007052
705,0.007108
704,0.007165
703,0.007222
702,0.00728
701,0.007338
700,0.007395
699,0.007452
698,0.007508
697,0.007564
696,0.007619
695,0.007673
694,0.007726
693,0.00778
692,0.007832
691,0.007884
690,0.007936
689,0.007988
688,0.008039
687,0.008091
686,0.008144
685,0.008197
684,0.008252
683,0.008308
682,0.008367
681,0.008427
680,0.008489
679,0.008554
678,0.008622
677,0.008692
676,0.008764
675,0.008839
674,0.008916
673,0.008995
672,0.009077
671,0.009161
670,0.009247
669,0.009335
668,0.009427
667,0.009521
666,0.009619
665,0.009718
664,0.009821
663,0.009926
662,0.010034
661,0.010145
660,0.010259
659,0.010376
658,0.010496
657,0.01062
656,0.010748
655,0.010879
654,0.011014
653,0.011152
652,0.011294
651,0.011438
650,0.011585
649,0.011735
648,0.011889
647,0.012046
646,0.012204
645,0.012367
644,0.012533
643,0.012703
642,0.012876
641,0.013054
640,0.013236
639,0.013423
638,0.013615
637,0.013814
636,0.014019
635,0.014231
634,0.01445
633,0.014677
632,0.014912
631,0.015156
630,0.01541
629,0.015673
628,0.015948
627,0.016234
626,0.01653
625,0.016838
624,0.017158
623,0.017491
622,0.017837
621,0.018196
620,0.018569
619,0.018957
618,0.019361
617,0.019781
616,0.020217
615,0.020671
614,0.021143
613,0.021633
612,0.022142
611,0.022669
610,0.023216
609,0.023783
608,0.02437
607,0.024977
606,0.025602
605,0.026246
604,0.026909
603,0.027589
602,0.028288
601,0.029004
600,0.029737
599,0.030488
598,0.03126
597,0.032062
596,0.032898
595,0.033765
594,0.034662
593,0.035587
592,0.036536
591,0.03751
590,0.038508
589,0.039531
588,0.04058
587,0.041652
586,0.042749
585,0.043875
584,0.045029
583,0.046212
582,0.047418
581,0.048636
580,0.049841
579,0.051046
578,0.052253
577,0.05346
576,0.054681
575,0.055912
574,0.057162
573,0.058428
572,0.059706
571,0.061
570,0.062308
569,0.063621
568,0.064939
567,0.066271
566,0.067595
565,0.068911
564,0.070242
563,0.07157
562,0.072884
561,0.074181
560,0.075462
559,0.076711
558,0.077922
557,0.079078
556,0.080177
555,0.081229
554,0.082212
553,0.083135
552,0.08399
551,0.084758
550,0.085455
549,0.086087
548,0.086635
547,0.087109
546,0.087525
545,0.087868
544,0.088136
543,0.088324
542,0.088427
541,0.088474
540,0.088463
539,0.088373
538,0.088214
537,0.088005
536,0.087725
535,0.087381
534,0.086985
533,0.086537
532,0.086043
531,0.085497
530,0.084896
529,0.084264
528,0.083598
527,0.082923
526,0.082238
525,0.08155
524,0.080862
523,0.080191
522,0.079548
521,0.078936
520,0.078369
519,0.077863
518,0.077422
517,0.077056
516,0.076774
515,0.076592
514,0.076524
513,0.076578
512,0.076767
511,0.077107
510,0.077617
509,0.078319
508,0.079238
507,0.080404
506,0.081853
505,0.083626
504,0.085779
503,0.08838
502,0.091522
501,0.095338
500,0.100025
499,0.105862
498,0.113248
497,0.122729
496,0.135007
495,0.150867
494,0.171026
493,0.195994
492,0.226062
491,0.26145
490,0.302426
489,0.349273
488,0.402209
487,0.461373
486,0.526825
485,0.598506
484,0.676193
483,0.759452
482,0.847559
481,0.939479
480,1.033788
479,1.128749
478,1.222587
477,1.313828
476,1.401509
475,1.484859
474,1.563022
473,1.635015
472,1.699939
471,1.757048
470,1.805661
469,1.845234
468,1.875422
467,1.896086
466,1.907411
465,1.909817
464,1.904079
463,1.891265
462,1.872702
461,1.849813
460,1.824008
459,1.796768
458,1.769746
457,1.744738
456,1.723417
455,1.707119
454,1.696902
453,1.693568
452,1.697748
451,1.709883
450,1.73022
449,1.758925
448,1.795954
447,1.841043
446,1.893701
445,1.953071
444,2.017962
443,2.086867
442,2.157989
441,2.229171
440,2.298283
439,2.363723
438,2.424314
437,2.479502
436,2.528938
435,2.572313
434,2.609611
433,2.640671
432,2.665385
431,2.683791
430,2.69591
429,2.702036
428,2.702682
427,2.698334
426,2.689653
425,2.677292
424,2.662186
423,2.644837
422,2.625889
421,2.605453
420,2.583387
419,2.559568
418,2.533683
417,2.505499
416,2.474433
415,2.440252
414,2.402386
413,2.360508
412,2.314206
411,2.263345
410,2.207928
409,2.148138
408,2.084347
407,2.016764
406,1.945819
405,1.871854
404,1.795374
403,1.716952
402,1.637209
401,1.556749
400,1.476246
399,1.396569
398,1.318226
397,1.242052
396,1.168141
395,1.09664
394,1.02746
393,0.960203
392,0.894468
391,0.829752
390,0.76555
389,0.7003245
388,0.635457
387,0.5705895
386,0.505722
385,0.4408545
384,0.375987
383,0.3111195
382,0.246252
381,0.1813845
380,0.116517
379,0.0516495
378,0.018196
377,0.018569
376,0.018957
375,0.019361
374,0.019781
373,0.020217
372,0.020671
371,0.021143
370,0.021633
369,0.022142
368,0.022669
367,0.023216
366,0.023783
365,0.02437
364,0.024977
363,0.025602
362,0.026246
361,0.026909
360,0.027589
359,0.028288
358,0.029004
357,0.029737
356,0.030488
355,0.03126
354,0.032062
353,0.032898
352,0.033765
351,0.034662
350,0.035587
